Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G66A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.2956566	0.0546311	0.6470730	0.6304356	0.2981578	0.0029346	0.1294230	0.4641587	0.0385336	0.6844411	0.0959473	0.7713648	0.2814137	0.5138209	0.0596226	0.1502794	0.5580747	0.6758481	0.0605490	0.0095932	0.3468625	0.2386311	0.2306468	0.5374479	0.2896133	0.1959904	0.3517881	0.4012025	0.6235041	0.1539063	0.1658617	0.0540911	0.2709404	0.0511233	0.1017196	0.1158537	0.0596104	0.4353362	0.3465510	0.1973463	0.0001393	0.3157728	0.1794817	0.0493426	0.4922328	0.0858040	0.2651239	0.4854882	0.3618804	0.1441756	0.5271699	0.1668673	0.5315706	0.3845480	0.3387344	0.5151165	0.2829502	0.1558948	0.7175833	0.0691343	0.3802319	0.0644414	0.1459685	0.0713092	0.1146498	0.3125245	0.2003468	0.4162852	0.2099803	0.3536102	0.6048850	0.5138039	0.2206690	0.2441482	0.0014970	0.0276794	0.3863029	0.0167457	0.6276829	0.3050998	0.0975145	0.3787501	0.0007037	0.4649038	0.6953935	0.3792167	0.7624061	0.6580043	0.4289223	0.3416662	0.7476275	0.5766164	0.1973067	0.6053576	0.0010733	0.2476361	0.1230426	0.1389351	0.1632363	0.0001648
50	0.2548275	0.3053427	0.5495262	0.6037181	0.3184722	0.0025559	0.1017668	0.5430459	0.0044701	0.6678292	0.4367272	0.5988729	0.2245443	0.5023000	0.4081030	0.2026128	0.1227614	0.6642717	0.1460334	0.0077883	0.2428173	0.2580054	0.2134629	0.4961088	0.4058562	0.1666786	0.4007983	0.4483885	0.5337792	0.1312744	0.1808779	0.0289459	0.3202685	0.0341361	0.0413677	0.1703714	0.0796102	0.3711595	0.3613387	0.1842851	0.0023644	0.2584484	0.1529468	0.2957833	0.5714262	0.2092694	0.2939894	0.3945629	0.2691848	0.2841809	0.5476675	0.1570373	0.5224408	0.3754015	0.3388789	0.5948335	0.3312830	0.1215333	0.5441262	0.0752894	0.3141820	0.0891738	0.0347979	0.0239018	0.3207170	0.3754152	0.2615002	0.5132742	0.0259322	0.3508701	0.5786317	0.3866273	0.4395389	0.3825908	0.0425987	0.0439886	0.4671193	0.2283438	0.6257925	0.4141598	0.1638028	0.3086823	0.0014472	0.2879306	0.5485454	0.3824651	0.7342518	0.6740264	0.2934870	0.3688487	0.5188220	0.6002103	0.1351018	0.5860605	0.0035854	0.3981364	0.1765013	0.1625952	0.1605756	0.0000000
100	0.3025796	0.4727009	0.3854425	0.5012003	0.3624464	0.0311073	0.0926661	0.6259734	0.0245242	0.7836856	0.6671759	0.4927681	0.2134314	0.3648204	0.5524036	0.1729001	0.0985465	0.6050398	0.1950749	0.0020764	0.2745773	0.2166925	0.2088675	0.4078905	0.5142863	0.1828302	0.4509559	0.3809643	0.5688568	0.1087045	0.1938413	0.0565415	0.5400823	0.1008677	0.0738263	0.1623642	0.1564742	0.3692218	0.3018281	0.1985014	0.0000023	0.2079120	0.3357539	0.3042686	0.4769437	0.1439774	0.1979012	0.3857443	0.0978542	0.4707691	0.5475061	0.1511300	0.5196963	0.5559832	0.3229008	0.4789368	0.2558476	0.1205258	0.7872372	0.0765434	0.1806869	0.0861356	0.0048074	0.0114053	0.2746044	0.3756119	0.3134524	0.6457440	0.0114744	0.4504987	0.7404175	0.2682793	0.5021736	0.3505825	0.0428673	0.0260714	0.5043836	0.2827209	0.6612938	0.4745086	0.1839232	0.1212646	0.0091474	0.3472951	0.5787581	0.3585386	0.6792394	0.5103007	0.4221216	0.3675462	0.6034856	0.4824219	0.1569916	0.6635771	0.0000103	0.3666365	0.1436805	0.2469177	0.0927578	0.0001288
150	0.2653723	0.4910106	0.4131729	0.2876897	0.3734806	0.0302535	0.0868292	0.3957992	0.0652176	0.6687480	0.7277411	0.2291976	0.1404979	0.3193005	0.6445989	0.2099218	0.0883166	0.4213602	0.2284567	0.0070615	0.2584787	0.1974365	0.1223721	0.5043034	0.4483723	0.1404597	0.4363207	0.4109851	0.6600613	0.1125661	0.1710753	0.0259946	0.6896718	0.1063049	0.0910373	0.1990070	0.2741365	0.4482824	0.3311938	0.1932469	0.0003339	0.1563115	0.4956835	0.2571837	0.3483021	0.1364651	0.2081579	0.3600097	0.0709067	0.5246818	0.5169195	0.1092731	0.5397056	0.5508217	0.4028081	0.3514630	0.2590962	0.1594377	0.7989081	0.0438168	0.2348322	0.0804110	0.0005305	0.0105155	0.2946810	0.2905626	0.5201052	0.5075358	0.0112000	0.3472717	0.5396493	0.0985385	0.4531963	0.3960485	0.0921890	0.0261509	0.4274361	0.2585065	0.6422324	0.3403722	0.1951921	0.1114559	0.0025272	0.3121296	0.3826098	0.3442593	0.6489967	0.4711055	0.3777637	0.4208462	0.4715553	0.4831873	0.3245359	0.4873999	0.0008283	0.4960236	0.2032012	0.2645753	0.1519480	0.0002376
200	0.2420978	0.4703121	0.2535619	0.2230341	0.4239693	0.0288054	0.1184019	0.4660474	0.0993937	0.7454275	0.6723032	0.1468385	0.1330299	0.2508312	0.6624106	0.2667261	0.0878986	0.4773239	0.1920711	0.0010382	0.2576598	0.1852552	0.2386499	0.4650102	0.5406300	0.2276553	0.3699371	0.4948577	0.4550234	0.0721265	0.1519498	0.0568841	0.7529239	0.0983641	0.0865864	0.1837446	0.2085987	0.3671665	0.2639147	0.2466218	0.0002237	0.0761031	0.4919667	0.2786821	0.4341093	0.1967117	0.1285091	0.3787430	0.0293979	0.4707372	0.6227179	0.1102070	0.6297395	0.7589957	0.4239432	0.4237844	0.2095054	0.2003864	0.6453877	0.0364282	0.2145931	0.1740787	0.0000080	0.0010633	0.2333563	0.3016158	0.4515928	0.6694648	0.0447724	0.4911220	0.5574118	0.0902739	0.4211647	0.4488858	0.0365840	0.0346712	0.3813387	0.2869256	0.6436676	0.3273891	0.2133905	0.1011943	0.0018875	0.4209909	0.3443630	0.3323694	0.6143285	0.5687027	0.4956741	0.3535086	0.3292132	0.5310093	0.5265638	0.6112334	0.0002700	0.4567389	0.2968761	0.3544046	0.1202568	0.0000725
250	0.1820158	0.5887667	0.1478615	0.1639288	0.4264213	0.0737050	0.1146771	0.4424802	0.0343838	0.5801499	0.7657214	0.1270744	0.0681195	0.1687011	0.6479769	0.3544248	0.1463359	0.3010648	0.1967105	0.0041089	0.1880298	0.1280605	0.1391195	0.5226679	0.4827605	0.2617506	0.5637521	0.5693186	0.3516875	0.0445773	0.1660159	0.0393910	0.5510319	0.0760784	0.0638303	0.2785827	0.1884162	0.4248081	0.2243615	0.2871730	0.0001985	0.0737898	0.6256714	0.2907607	0.3655674	0.2691188	0.0877048	0.2983760	0.0171405	0.5587114	0.5554410	0.1633269	0.5477467	0.5218772	0.4849173	0.3328773	0.2083216	0.2459202	0.6858736	0.0894685	0.2369226	0.2482205	0.0007254	0.0008116	0.3363812	0.3117175	0.6187217	0.5757706	0.0108193	0.5132345	0.5494671	0.1124917	0.4687945	0.5368162	0.0472806	0.0470389	0.4381604	0.2441819	0.5394834	0.3412977	0.2316990	0.1772503	0.0069184	0.3502136	0.3565002	0.3233926	0.6611780	0.4808503	0.3874260	0.5257971	0.4580928	0.4396052	0.5101683	0.6453159	0.0002353	0.4221732	0.3647458	0.2458409	0.2819447	0.0000151
300	0.2965885	0.5049000	0.0818582	0.2265834	0.3124397	0.0506593	0.1055525	0.3825327	0.0704449	0.5745897	0.7724316	0.0779356	0.0433362	0.2376094	0.5621766	0.3891306	0.0505584	0.3261537	0.3480154	0.0009639	0.3283753	0.1867346	0.1809768	0.4692819	0.5477806	0.2592420	0.6568970	0.5965977	0.3047379	0.0468686	0.1469655	0.0426381	0.5911643	0.1250848	0.1439261	0.3274972	0.1869915	0.3889649	0.2857028	0.2331415	0.0021408	0.0652281	0.6638966	0.3128253	0.3363863	0.2383580	0.1089419	0.2071143	0.0351676	0.6431797	0.5431908	0.2267264	0.5920626	0.6413801	0.4298089	0.3792808	0.1165419	0.2419373	0.6229022	0.1735184	0.2480633	0.2947305	0.0003006	0.0012468	0.3915032	0.2777870	0.6559544	0.5148026	0.0254893	0.4863895	0.7256251	0.1257063	0.3784394	0.5229480	0.0506222	0.1810715	0.4201697	0.2710906	0.5090691	0.4376309	0.2793742	0.1202145	0.0122073	0.3065903	0.3750591	0.2445193	0.6781775	0.5285146	0.4371242	0.4524924	0.3602955	0.3935052	0.4607812	0.7953725	0.0002407	0.4462890	0.3864105	0.2612691	0.3222946	0.0000000
350	0.2379620	0.4873886	0.0527807	0.1495422	0.3681228	0.0788493	0.0986366	0.2860952	0.0764221	0.5224796	0.6063227	0.0661270	0.0651277	0.2561332	0.6206434	0.4200089	0.0470846	0.3669354	0.2021626	0.0054965	0.2847898	0.1464773	0.1956781	0.5118228	0.5643058	0.3087902	0.5842789	0.6227414	0.2794532	0.0486570	0.1292406	0.0427994	0.6514558	0.0981019	0.1625382	0.3313835	0.1638108	0.4233452	0.2768028	0.3449895	0.0043983	0.0558191	0.5535675	0.3170395	0.4097936	0.2135783	0.0543541	0.1614327	0.0265763	0.5761624	0.6298023	0.3230128	0.4738720	0.6685683	0.4286720	0.3663119	0.0509067	0.3664852	0.6173808	0.1784425	0.1665219	0.2669623	0.0000331	0.0020175	0.5344679	0.2727754	0.6482065	0.5164579	0.0163174	0.4585605	0.6658503	0.0972103	0.3483171	0.4886273	0.0484124	0.1469777	0.3095428	0.3341680	0.5022960	0.3473569	0.3091723	0.1505583	0.0106433	0.4155357	0.3528775	0.2676775	0.5461694	0.4551284	0.3773616	0.5682390	0.3082047	0.3873296	0.6182869	0.5870358	0.0012037	0.3557354	0.3778746	0.2358843	0.2940954	0.0000947
400	0.2701874	0.5206071	0.0591045	0.1432177	0.4940741	0.0310857	0.1517790	0.4497644	0.1279368	0.6116732	0.5255018	0.1000025	0.0977650	0.2612549	0.6018073	0.5144759	0.0583286	0.4252013	0.2474791	0.0048580	0.3457537	0.1091963	0.1465159	0.6777014	0.5926189	0.2882787	0.4852059	0.6702533	0.3313550	0.0248356	0.1749187	0.0560421	0.7384471	0.0349175	0.1477154	0.3079630	0.1654024	0.4054088	0.1707173	0.3367816	0.0015179	0.0637502	0.7297830	0.3595718	0.4095740	0.1838134	0.0565011	0.1524446	0.0099322	0.5586712	0.7681126	0.2957940	0.5384632	0.5501057	0.5085339	0.3886235	0.0408620	0.3001412	0.6964520	0.1371153	0.1775759	0.3052573	0.0004444	0.0020044	0.3467884	0.2500904	0.6829867	0.5395723	0.0253399	0.5278831	0.5771846	0.1390352	0.3356723	0.5577364	0.0415053	0.1701675	0.3861382	0.3059669	0.5279190	0.4097913	0.3569484	0.1877507	0.0049866	0.2233807	0.4118728	0.1386457	0.6714335	0.4201141	0.4885696	0.4764921	0.3283206	0.3510472	0.4559448	0.6177526	0.0012984	0.3235287	0.4842002	0.3283690	0.5294072	0.0008284
450	0.2712895	0.5790363	0.0449145	0.1304100	0.4072732	0.0519974	0.1140026	0.4337379	0.1009239	0.4005663	0.7130895	0.0587461	0.0738494	0.1814436	0.6717755	0.5054221	0.0432958	0.2984772	0.2243538	0.0039816	0.2567821	0.1158719	0.1366885	0.5996915	0.5777988	0.2177907	0.5931006	0.7802058	0.3012166	0.0086377	0.1267378	0.0428345	0.7135279	0.0524504	0.1958213	0.3179337	0.1511198	0.6337275	0.1582851	0.3426465	0.0047089	0.0283518	0.6418945	0.3701403	0.3531127	0.1636578	0.0616143	0.1382936	0.0187240	0.4707147	0.5536867	0.2861740	0.5018220	0.4862285	0.4800685	0.2835122	0.0322903	0.2681320	0.8069531	0.1740940	0.0955704	0.3749861	0.0003479	0.0008371	0.6245845	0.2466474	0.7076216	0.4157377	0.0185291	0.4876176	0.6193010	0.1214833	0.2806869	0.5846041	0.0251067	0.1540523	0.4721681	0.2203069	0.5759847	0.4070263	0.3375725	0.3204482	0.0174087	0.3522676	0.3619228	0.1516909	0.4792218	0.6045028	0.4599754	0.4372713	0.2349567	0.3155208	0.4925000	0.6531154	0.0000000	0.2092169	0.4135598	0.2707703	0.4652018	0.0012327
