"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2826463	0.5953018	0.7790522	0.1447496	0.2270802	0.3856215	0.5089812	0.1534604	0.5553299	0.1709681	0.7039773	0.4887918	0.6905386	0.1542588	0.0770666	0.0908085	0.5094480	0.1889503	0.0971622	0.1260799	0.2792950	0.4057511	0.0994760	0.5499908	0.3789923	0.1167233	0.3295565	0.0523652	0.4971389	0.0792436	0.1770522	0.1860605	0.5678935	0.2594726	0.1713584	0.6439881	0.4161822	0.3620001	0.6505589	0.2898051	0.5109302	0.6527332	0.0318149	0.0113778	0.5772098	0.6671985	0.6548328	0.0317703	0.1239680	0.7619914	0.6144728	0.0053851	0.6087360	0.7848982	0.7260178	0.5216404	0.6406072	0.0408679	0.2523927	0.0777697	0.5998518	0.3067908	0.0057789	0.0137479	0.3745943	0.5996260	0.4156823	0.0151281	0.6577107	0.1190852	0.1550530	0.4023196	0.3731854	0.0576910	0.0022209	0.5870001	0.6457983	0.0207524	0.1257506	0.0795526	0.4058571	0.5226977	0.4651538	0.0651373	0.0670280	0.2061011	0.6356295	0.3250772	0.4965200	0.1309698	0.1396217	0.0811567	0.3543516	0.7670194	0.0028061	0.0828624	0.6356200	0.4547544	0.6257751	0.4977330
50	0.2348823	0.4645351	0.7033797	0.0816652	0.0717751	0.1259181	0.5116538	0.0554315	0.3455527	0.5174941	0.3539409	0.1492455	0.6797326	0.1528298	0.1388582	0.0351603	0.4947540	0.1907805	0.0750400	0.4199590	0.4763221	0.4847319	0.2032083	0.5246973	0.3323843	0.1353360	0.0921258	0.1132296	0.4437475	0.0833010	0.2237137	0.1974420	0.5851995	0.1508804	0.1336011	0.6399751	0.6080510	0.3690445	0.6639873	0.1148083	0.2422446	0.7239705	0.0371354	0.0238259	0.5139776	0.7231842	0.6561012	0.0093149	0.1526886	0.6968780	0.5281441	0.0076952	0.4778629	0.5655116	0.5822633	0.5434122	0.6678405	0.0046385	0.2216845	0.1511960	0.5348597	0.2078063	0.0181622	0.0192423	0.4634952	0.7893845	0.4933909	0.0032200	0.0788331	0.1382692	0.1802163	0.3294347	0.6901057	0.4456610	0.0061817	0.5358024	0.8154297	0.3342058	0.0991532	0.1116398	0.5815540	0.6058999	0.5100797	0.0504679	0.0236922	0.2136991	0.5894842	0.3526597	0.4679434	0.1096607	0.2071550	0.0530816	0.3166044	0.4619606	0.0226997	0.0530688	0.4145893	0.5159431	0.5259955	0.5576100
100	0.2724874	0.4195356	0.6254469	0.0755594	0.0595809	0.0439167	0.5305925	0.0858718	0.1246759	0.6176312	0.2018785	0.0689916	0.6362254	0.2106654	0.1376142	0.0234883	0.5147349	0.1253798	0.1554108	0.5504830	0.5532548	0.4634716	0.2726016	0.5980736	0.3873483	0.0735369	0.0123188	0.1902553	0.3021071	0.0737920	0.0964443	0.1876880	0.6446671	0.2400360	0.3461372	0.5934957	0.5472277	0.3827546	0.6732821	0.1070823	0.2887406	0.5816727	0.0479216	0.0106678	0.5967718	0.7855306	0.6733973	0.0012468	0.1299423	0.5745914	0.5523620	0.0172889	0.4236756	0.5817873	0.5835830	0.6103949	0.6340218	0.0058812	0.2029928	0.1329139	0.5356905	0.1637285	0.0812472	0.0194909	0.5245211	0.6869169	0.4174912	0.0008018	0.0100693	0.1638551	0.1966985	0.3434160	0.6672470	0.6598309	0.0028757	0.5045635	0.6237796	0.2081960	0.1456725	0.2336492	0.5157335	0.5788931	0.3065657	0.0432620	0.0246371	0.2984533	0.5298606	0.2640843	0.2907494	0.1057881	0.2063732	0.0408791	0.2266907	0.4165385	0.0174835	0.0914023	0.3951510	0.4738068	0.6082321	0.5176846
150	0.2311898	0.2984640	0.6100064	0.1531740	0.0272257	0.0283181	0.5772390	0.1435740	0.0699528	0.6935311	0.1462321	0.0778023	0.6708173	0.1474905	0.0806965	0.0192189	0.4063459	0.1770301	0.2390869	0.6163538	0.5433869	0.3484333	0.3036526	0.4913900	0.4660006	0.0347448	0.0031103	0.2804908	0.2415637	0.0389366	0.0705527	0.2655725	0.6964395	0.2491274	0.4411086	0.5822239	0.5474831	0.2614633	0.5996568	0.1416905	0.2484395	0.5779470	0.0210475	0.0121873	0.5670892	0.7430061	0.5490527	0.0094240	0.1109494	0.7953987	0.6377272	0.0196873	0.5782206	0.7726395	0.6589415	0.6674698	0.6116223	0.0107663	0.2461096	0.1774274	0.5209737	0.2150664	0.1625368	0.0219535	0.4413350	0.5977916	0.3661401	0.0002388	0.0005183	0.2343698	0.3422146	0.4039403	0.5436068	0.6888125	0.0007234	0.5610792	0.5898035	0.2639372	0.1026076	0.2282471	0.5943954	0.4725886	0.2714302	0.0169860	0.0167721	0.2536201	0.4249486	0.2081300	0.1659074	0.1149689	0.2823038	0.0066540	0.2403905	0.4215366	0.0109081	0.1728711	0.3393129	0.2711639	0.6111125	0.6580435
200	0.2349156	0.3413759	0.7182043	0.0757363	0.0315724	0.0004572	0.6153882	0.1656594	0.0444747	0.5807267	0.1712380	0.0908734	0.7017516	0.0940250	0.0847662	0.0065769	0.4301180	0.1782821	0.1751681	0.5346739	0.5044335	0.4456841	0.4809990	0.5141873	0.2673720	0.0506106	0.0033352	0.2622947	0.2535717	0.0177509	0.0721996	0.2096626	0.5663690	0.3496165	0.4971343	0.6387249	0.4308708	0.3385406	0.7246137	0.0935560	0.3142869	0.7049774	0.0644906	0.0112576	0.6179101	0.5515502	0.6993905	0.0086213	0.1634887	0.6067493	0.6988360	0.0177230	0.6108205	0.6616842	0.6778762	0.6613553	0.5424594	0.0065403	0.2998511	0.2818647	0.4242548	0.2122874	0.2007589	0.0015125	0.4440798	0.6259153	0.4347802	0.0002768	0.0010625	0.2906100	0.2835777	0.4523655	0.7125826	0.6845545	0.0005136	0.5817257	0.6669681	0.3475241	0.1051512	0.2696996	0.5477261	0.4893084	0.2425994	0.0063239	0.0373068	0.2244341	0.5338592	0.3023999	0.1372644	0.1443003	0.2313066	0.0150035	0.2455713	0.4495768	0.0230826	0.1774355	0.3026045	0.2899304	0.4934244	0.5496778
250	0.2590959	0.4663693	0.6792372	0.0741075	0.0285658	0.0016194	0.6188397	0.1901169	0.0344933	0.6571677	0.1682263	0.1275336	0.7165705	0.1496408	0.0960920	0.0045912	0.4992793	0.2195520	0.2560723	0.7208645	0.5780329	0.5291961	0.4833892	0.6388159	0.3705990	0.0025359	0.0010863	0.3183931	0.1884990	0.0145291	0.0601734	0.2230262	0.6117280	0.4143659	0.3377205	0.5898133	0.5547698	0.3350520	0.6354100	0.1142449	0.3231995	0.8058392	0.0688412	0.0055964	0.6379654	0.5385117	0.5294397	0.0010779	0.1303316	0.7940958	0.7322227	0.0130690	0.5575169	0.6984006	0.6426960	0.6240246	0.6405341	0.0008016	0.4066289	0.3501482	0.5865135	0.2407652	0.3754466	0.0030544	0.5273274	0.5608443	0.5432173	0.0000000	0.0001787	0.1824491	0.4097457	0.4655172	0.7478263	0.6366670	0.0020373	0.5078432	0.7445422	0.3700763	0.0885379	0.2473089	0.5693791	0.5835037	0.2093176	0.0249736	0.0490752	0.2445340	0.3591793	0.2022506	0.0906943	0.1284900	0.2455498	0.0149247	0.3724211	0.4797477	0.0220302	0.1851886	0.2542594	0.3185423	0.5267664	0.5222854
300	0.1795980	0.4037065	0.6970855	0.1293225	0.0528486	0.0007840	0.5190281	0.1212806	0.0382067	0.7329876	0.0845096	0.0492789	0.7412619	0.1818702	0.1142586	0.0047270	0.5891579	0.3339050	0.2229476	0.7105632	0.5609572	0.5002802	0.4370208	0.5534659	0.2992570	0.0019389	0.0016663	0.4129197	0.1582471	0.0205758	0.0287447	0.3883919	0.6762875	0.3821415	0.3573817	0.6068985	0.5615187	0.3549293	0.7270533	0.0827424	0.3153201	0.7061801	0.0754857	0.0153333	0.4632087	0.5678344	0.3961578	0.0058897	0.0843423	0.7013241	0.7189551	0.0310093	0.5583938	0.6342441	0.6357668	0.5206681	0.7434079	0.0008544	0.3958767	0.3238555	0.3527957	0.1438741	0.3518919	0.0003734	0.4442981	0.4979670	0.4653360	0.0031562	0.0027554	0.2466589	0.4032228	0.4423915	0.7399589	0.6416040	0.0060943	0.6691269	0.6512696	0.4166396	0.0944269	0.2209845	0.7170357	0.6220376	0.0615070	0.0153282	0.0413516	0.2165430	0.4718966	0.2569996	0.0486430	0.1281809	0.3419642	0.0341662	0.3341729	0.4450597	0.0216825	0.0935434	0.2014148	0.2898260	0.4998412	0.5698685
350	0.2392808	0.4438476	0.6109022	0.0722749	0.0353343	0.0006547	0.4927455	0.1553931	0.0661727	0.7157157	0.1105331	0.0663872	0.7628070	0.1997262	0.0924568	0.0033823	0.7000240	0.4047492	0.2563701	0.5784836	0.6286663	0.4925973	0.4237860	0.5848162	0.3948853	0.0013208	0.0010276	0.5396937	0.2278815	0.0659267	0.0430377	0.3087240	0.5282872	0.3745676	0.4169768	0.6427525	0.5233798	0.2994786	0.6955502	0.0689579	0.3739497	0.7135440	0.0470405	0.0177786	0.5347605	0.6570357	0.4320334	0.0052809	0.0937075	0.7127011	0.6603565	0.0290403	0.5047504	0.6712282	0.6926443	0.6515520	0.7124624	0.0000678	0.5375930	0.3387951	0.3362791	0.1833895	0.3782704	0.0003645	0.4728081	0.5648156	0.4284114	0.0000836	0.0005416	0.1369976	0.3776853	0.4989684	0.6928404	0.6323094	0.0025142	0.6624680	0.8305299	0.2212191	0.0883871	0.2894492	0.6394337	0.5663994	0.0552858	0.0650566	0.0333709	0.1821027	0.4755137	0.2345816	0.0777608	0.1430872	0.2861688	0.0074849	0.3695311	0.4825883	0.0399327	0.1504231	0.2297992	0.3085146	0.5596747	0.5714160
400	0.1420421	0.4251366	0.7330462	0.0625222	0.0184896	0.0002572	0.6087709	0.1704802	0.0276099	0.7248737	0.1374534	0.0833398	0.6766659	0.2613763	0.0450544	0.0063823	0.6202266	0.4815921	0.2701722	0.5492006	0.5409985	0.5659832	0.6243740	0.6386514	0.3565568	0.0019073	0.0011783	0.5661350	0.1753290	0.0535485	0.0592283	0.3262155	0.6706794	0.3882564	0.4149345	0.7625429	0.5635183	0.2450618	0.6771665	0.0822801	0.3986647	0.7258123	0.0553500	0.0105270	0.5353791	0.8031763	0.4283506	0.0079437	0.0784246	0.7399126	0.6627105	0.0325991	0.5616736	0.6206486	0.6885946	0.5772596	0.7049703	0.0004265	0.4026560	0.2672728	0.4688714	0.1802458	0.3184668	0.0008242	0.4947950	0.5560136	0.4499790	0.0000000	0.0001435	0.0975991	0.4125677	0.4333320	0.6591572	0.7089963	0.0068971	0.5806279	0.6904960	0.2646728	0.0593802	0.2325895	0.6645271	0.5351492	0.0183725	0.0132811	0.0693556	0.2644972	0.5554039	0.3334945	0.0609108	0.1704089	0.2154765	0.0047433	0.2988674	0.5102452	0.1088960	0.1259661	0.3281628	0.2260080	0.4898960	0.5857873
