name,__glayCluster,,
acrr,0,,
mara,0,,
marr,0,,
soxr,0,,
soxs,0,,
rob,0,,
acra,0,,
acrb,0,,
marb,0,,
micf,0,,
acna,0,,
fumc,0,,
soda,0,,
envr,0,,
zwf,0,,
fpr,0,,
inaa,0,,
nfo,0,,
nfsa,0,,
poxb,0,,
pqia,0,,
pqib,0,,
rimk,0,,
tolc,0,,
ybao,0,,
ybjc,0,,
ybjn,0,,
ygib,0,,
ygic,0,,
ynce,0,,
aslb,0,,
flda,0,,
fldb,0,,
ompn,0,,
pgi,0,,
riba,0,,
ydbk,0,,
arca,1,,
fnr,1,,
acee,1,,
acef,1,,
acka,1,,
cite,1,,
citg,1,,
cyda,1,,
cydb,1,,
cydc,1,,
cydd,1,,
dcuc,1,,
fuma,1,,
hema,1,,
icd,1,,
moea,1,,
moeb,1,,
nuoc,1,,
nuof,1,,
nuog,1,,
nuoi,1,,
nuol,1,,
prfa,1,,
prmc,1,,
puua,1,,
puup,1,,
rplb,1,,
rplc,1,,
rpld,1,,
rplp,1,,
rplv,1,,
rplw,1,,
rpmc,1,,
rpsc,1,,
rpsj,1,,
rpsq,1,,
rpss,1,,
sdha,1,,
tpx,1,,
ubia,1,,
ubic,1,,
ybdn,1,,
ydea,1,,
acre,1,,
acrf,1,,
bcsb,1,,
bcsz,1,,
cheb,1,,
cher,1,,
chey,1,,
chez,1,,
dppa,1,,
dppb,1,,
dppc,1,,
dppd,1,,
dppf,1,,
nrdd,1,,
nrdg,1,,
ompw,1,,
ompx,1,,
pept,1,,
phem,1,,
pita,1,,
rimm,1,,
rpls,1,,
rplt,1,,
rpsp,1,,
tap,1,,
tar,1,,
trmd,1,,
upp,1,,
uraa,1,,
xdha,1,,
xdhb,1,,
xdhc,1,,
ydej,1,,
yecr,1,,
ygba,1,,
ysga,1,,
adiy,2,,
gade,2,,
rcsa,2,,
hdfr,2,,
adia,2,,
gadb,2,,
gadc,2,,
gltb,2,,
gltd,2,,
gltf,2,,
fabz,2,,
lpxa,2,,
lpxd,2,,
gnd,2,,
flic,2,,
crp,3,,
gata,3,,
gatb,3,,
gatc,3,,
gatd,3,,
gaty,3,,
gatz,3,,
glta,3,,
mdh,3,,
sdhb,3,,
aaea,3,,
aaeb,3,,
aaer,3,,
aaex,3,,
aer,3,,
agp,3,,
ampd,3,,
ampe,3,,
cpdb,3,,
csie,3,,
cspd,3,,
cspe,3,,
csta,3,,
cyaa,3,,
dksa,3,,
envz,3,,
epd,3,,
fbaa,3,,
fepa,3,,
gapa,3,,
gcd,3,,
glgs,3,,
glpe,3,,
glpg,3,,
gpsa,3,,
grpe,3,,
hflc,3,,
hflk,3,,
hflx,3,,
hfq,3,,
hofb,3,,
hofc,3,,
hpt,3,,
ilvb,3,,
ilvn,3,,
ivbl,3,,
mana,3,,
mpl,3,,
murp,3,,
nadc,3,,
narq,3,,
nlpe,3,,
ompa,3,,
pck,3,,
pgk,3,,
ppdd,3,,
prib,3,,
rmf,3,,
rof,3,,
rpli,3,,
rpsf,3,,
rpsr,3,,
