name,__glayCluster,,
acrr,0,,
mara,0,,
marr,0,,
soxr,0,,
soxs,0,,
rob,0,,
marb,0,,
acna,0,,
fumc,0,,
ptsg,0,,
soda,0,,
zwf,0,,
fpr,0,,
inaa,0,,
nfo,0,,
nfsa,0,,
poxb,0,,
pqia,0,,
pqib,0,,
rimk,0,,
tolc,0,,
ybao,0,,
ybjc,0,,
ybjn,0,,
ygib,0,,
ynce,0,,
aslb,0,,
flda,0,,
fldb,0,,
ompn,0,,
pgi,0,,
riba,0,,
ydbk,0,,
ada,1,,
aidb,1,,
alka,1,,
alkb,1,,
gadx,2,,
cspa,2,,
hns,2,,
cadc,2,,
cada,2,,
cadb,2,,
rpos,2,,
gyra,2,,
amtb,2,,
glnk,2,,
asnb,2,,
btub,2,,
lon,2,,
muri,2,,
uspe,2,,
ybas,2,,
ybat,2,,
beti,3,,
beta,3,,
betb,3,,
bett,3,,
fnr,4,,
acka,4,,
ndh,4,,
nuoe,4,,
nuoh,4,,
nuol,4,,
prmc,4,,
rplc,4,,
rplp,4,,
rplv,4,,
rplw,4,,
rpsc,4,,
rpsq,4,,
sucb,4,,
aer,4,,
dcua,4,,
rpsi,4,,
acre,4,,
acrf,4,,
aspc,4,,
bcsb,4,,
bcsz,4,,
cheb,4,,
cher,4,,
chey,4,,
chez,4,,
dppa,4,,
dppb,4,,
dppc,4,,
dppd,4,,
dppf,4,,
entf,4,,
nrdd,4,,
nrdg,4,,
ompw,4,,
ompx,4,,
pept,4,,
phem,4,,
pita,4,,
rimm,4,,
rpls,4,,
rplt,4,,
rpsp,4,,
tap,4,,
tar,4,,
trmd,4,,
upp,4,,
uraa,4,,
xdha,4,,
xdhb,4,,
xdhc,4,,
ydej,4,,
yecr,4,,
ygba,4,,
ysga,4,,
gade,5,,
rcsa,5,,
mdtf,5,,
fabz,5,,
lpxa,5,,
lpxd,5,,
gnd,5,,
flic,5,,
pura,5,,
arca,6,,
lldr,6,,
acee,6,,
acef,6,,
citf,6,,
citg,6,,
citx,6,,
cyda,6,,
cydb,6,,
cydd,6,,
dcuc,6,,
fuma,6,,
gata,6,,
gatb,6,,
gatc,6,,
gatd,6,,
gaty,6,,
gatz,6,,
glta,6,,
hema,6,,
icd,6,,
lldd,6,,
lldp,6,,
lpd,6,,
mdh,6,,
nuog,6,,
nuok,6,,
pflb,6,,
prfa,6,,
rplb,6,,
rpld,6,,
rpmc,6,,
rpsj,6,,
rpss,6,,
tpx,6,,
ydea,6,,
puur,7,,
puua,7,,
puub,7,,
puuc,7,,
puud,7,,
puue,7,,
puup,7,,
argp,8,,
dnaa,8,,
alda,8,,
argo,8,,
dapb,8,,
dapd,8,,
dnan,8,,
lysa,8,,
lysc,8,,
lysp,8,,
nrda,8,,
nrdb,8,,
recf,8,,
yfae,8,,
guaa,8,,
guab,8,,
pola,8,,
lysr,8,,
ascg,9,,
prpr,9,,
ascb,9,,
ascf,9,,
htpg,9,,
ybit,9,,
prpb,9,,
prpc,9,,
prpd,9,,
prpe,9,,
basr,10,,
puta,10,,
qseb,10,,
