name,__glayCluster,,
mara,0,,
soxr,0,,
soxs,0,,
puta,0,,
rob,0,,
micf,0,,
acna,0,,
fumc,0,,
ptsg,0,,
soda,0,,
putp,0,,
zwf,0,,
fpr,0,,
inaa,0,,
nfo,0,,
nfsa,0,,
poxb,0,,
pqia,0,,
pqib,0,,
rimk,0,,
tolc,0,,
ybao,0,,
ybjc,0,,
ybjn,0,,
ygib,0,,
ygic,0,,
ynce,0,,
aslb,0,,
flda,0,,
fldb,0,,
ompn,0,,
pgi,0,,
riba,0,,
ydbk,0,,
puur,1,,
crp,1,,
glng,1,,
hupa,1,,
hupb,1,,
acnb,1,,
citc,1,,
citd,1,,
cite,1,,
citf,1,,
citg,1,,
citx,1,,
foca,1,,
fuma,1,,
gata,1,,
gatb,1,,
gatc,1,,
gatd,1,,
gaty,1,,
gatz,1,,
glta,1,,
mdh,1,,
pflb,1,,
puua,1,,
puub,1,,
puuc,1,,
puud,1,,
puue,1,,
puup,1,,
aaea,1,,
aaeb,1,,
aaer,1,,
aaex,1,,
acs,1,,
actp,1,,
aer,1,,
agp,1,,
aldb,1,,
ampd,1,,
ampe,1,,
ansb,1,,
aspa,1,,
cpdb,1,,
csie,1,,
cspd,1,,
cspe,1,,
csta,1,,
cyaa,1,,
dcua,1,,
dksa,1,,
dusb,1,,
envz,1,,
epd,1,,
fbaa,1,,
gapa,1,,
gcd,1,,
glgs,1,,
glna,1,,
glnl,1,,
glpe,1,,
glpg,1,,
gpsa,1,,
grpe,1,,
hflc,1,,
hflk,1,,
hflx,1,,
hfq,1,,
hofb,1,,
hofc,1,,
hpt,1,,
ilvb,1,,
ilvn,1,,
ivbl,1,,
mana,1,,
mpl,1,,
murp,1,,
nadc,1,,
narq,1,,
nlpe,1,,
ompa,1,,
pck,1,,
pgk,1,,
ppdd,1,,
prib,1,,
prop,1,,
rmf,1,,
rof,1,,
rpli,1,,
rplm,1,,
rpsf,1,,
rpsi,1,,
rpsr,1,,
secb,1,,
sfsa,1,,
sodb,1,,
sohb,1,,
spec,1,,
spf,1,,
trg,1,,
trxa,1,,
ubig,1,,
xsea,1,,
yaep,1,,
yaeq,1,,
ychh,1,,
yeip,1,,
yeiw,1,,
yhfa,1,,
yjch,1,,
ynfk,1,,
fur,2,,
yqji,2,,
lpd,2,,
ndh,2,,
sdha,2,,
sdhb,2,,
sdhc,2,,
sdhd,2,,
suca,2,,
sucb,2,,
succ,2,,
sucd,2,,
cira,2,,
enta,2,,
entb,2,,
entc,2,,
entd,2,,
ente,2,,
feca,2,,
fecb,2,,
fecc,2,,
fecd,2,,
fepa,2,,
fiu,2,,
cdar,2,,
gard,2,,
gark,2,,
garl,2,,
garp,2,,
garr,2,,
gudd,2,,
gudp,2,,
gudx,2,,
rnpb,2,,
aspc,2,,
entf,2,,
fepe,2,,
fes,2,,
glnd,2,,
ybdz,2,,
kate,2,,
crl,2,,
exbb,2,,
exbd,2,,
feci,2,,
fecr,2,,
fepb,2,,
fepc,2,,
fepd,2,,
fepg,2,,
fhua,2,,
fhub,2,,
fhuc,2,,
fhud,2,,
fhue,2,,
gpma,2,,
gspc,2,,
gspd,2,,
gspe,2,,
gspf,2,,
gspg,2,,
gsph,2,,
gspi,2,,
gspj,2,,
gspk,2,,
gspl,2,,
gspm,2,,
gspo,2,,
ryhb,2,,
tonb,2,,
ygac,2,,
yhhy,2,,
yjjz,2,,
yqjh,2,,
oxyr,3,,
hcp,3,,
hcr,3,,
katg,3,,
napa,3,,
napb,3,,
napc,3,,
napd,3,,
napf,3,,
napg,3,,
naph,3,,
yhja,3,,
dps,3,,
fhuf,3,,
mnth,3,,
nrde,3,,
nrdf,3,,
nrdh,3,,
nrdi,3,,
sufa,3,,
sufb,3,,
sufc,3,,
sufd,3,,
sufe,3,,
sufs,3,,
iscr,3,,
isca,3,,
iscs,3,,
iscu,3,,
ydiu,3,,
mntr,3,,
ryba,3,,
dsbg,3,,
flu,3,,
gor,3,,
grxa,3,,
hemh,3,,
isrc,3,,
oxys,3,,
trxc,3,,
ychf,3,,
rhar,4,,
rhas,4,,
rhat,4,,
rhaa,4,,
rhab,4,,
rhad,4,,
zrar,5,,
zras,5,,
zrap,5,,
fnr,6,,
nikr,6,,
acre,6,,
acrf,6,,
bcsb,6,,
bcsz,6,,
cheb,6,,
cher,6,,
chey,6,,
chez,6,,
dppa,6,,
dppb,6,,
dppc,6,,
dppd,6,,
dppf,6,,
nika,6,,
nikb,6,,
nikc,6,,
nikd,6,,
nike,6,,
nrdd,6,,
nrdg,6,,
ompw,6,,
ompx,6,,
pept,6,,
phem,6,,
pita,6,,
rimm,6,,
rpls,6,,
rplt,6,,
rpsp,6,,
tap,6,,
tar,6,,
trmd,6,,
upp,6,,
uraa,6,,
xdha,6,,
xdhb,6,,
xdhc,6,,
ydej,6,,
yecr,6,,
ygba,6,,
ysga,6,,
purr,7,,
gcvh,7,,
gcvp,7,,
gcvt,7,,
