Time	4EBP1_pS65	4EBP1_pT37_pT46	ACC_pS79	AKT_pS473	AKT_pT308	AMPK_pT172	BAD_pS112	c-Met_pY1235	c-Raf_pS338	CHK1_pS345	CHK2_pT68	EGFR_pY1068	EGFR_pY1173	ER-alpha_pS118	GSK3-alpha-beta_pS21_S9	GSK3-alpha-beta_pS9	HER2_pY1248	HER3_pY1298	JNK_pT183_pT185	MAPK_pT202_Y204	MEK1_pS217_S221	mTOR_pS2448	NDRG1_pT346	NF-kB-p65_pS536	p27_pT157	p27_pT198	p38_pT180_Y182	p70S6K_pT389	p90RSK_pT359_S363	PDK1_pS241	PEA15_pS116	PKC-alpha_pS657	PKC-delta	PKC-pan-betaII_pS660	PRAS40_pT246	Rb_pS807_S811	Rictor_pT1135	S6_pS235_S236	S6_pS240_S244	Src_pY416	Src_pY527	STAT3_pY705	TAZ_pS89	YAP_pS127	YB-1_PS102
0	1.975127479	2.791217804	0.807922392	0.753746478	1.932247826	3.765507308	0.65983489	0.629911618	0.929721603	0.814453642	0.585411619	15.92270749	1.418616859	1.21489855	3.051036314	1.900864275	11.95437998	2.566944974	0.380478524	0.848544551	2.246838739	0.843647419	0.539636239	1.471781106	0.539699975	1.032989229	1.056750898	0.300653733	0.327088627	2.953384319	6.543983757	0.229690835	0.693343908	1.825067048	4.341192161	4.991820444	0.733927629	0.518631974	0.703811459	2.199017392	5.199544904	0.309752987	1.625649102	2.429085045	0.595967639
0	1.805423018	2.883167345	1.029069761	0.749678206	2.432050493	2.845446213	0.646510755	0.674410608	1.019694243	0.830729204	0.586401082	9.926883719	1.402548478	1.199411239	3.148275151	1.960126031	10.94940774	2.257054108	0.385787157	0.871223131	2.107113664	0.909271117	0.488241228	1.446257405	0.585122761	1.039600203	1.066291456	0.402154043	0.360752505	2.586691404	6.624214671	0.228695974	0.869932213	2.039193288	4.260964993	4.302913427	0.83440328	0.755462948	0.787867989	2.028341368	4.856875356	0.322293644	1.85411205	2.348880464	0.62009032
0	1.917577003	3.062716962	1.056186429	0.674706918	2.384872385	3.060243829	0.630666465	0.633716567	0.948295381	0.813279432	0.559631089	10.33949956	1.361100891	1.169848559	3.003017751	1.855638929	10.75339206	2.114341911	0.382839187	0.899102789	2.151160838	0.80500026	0.45521187	1.458546812	0.545934223	1.021955887	1.018757718	0.355821397	0.327706507	2.659850304	6.529804431	0.220769817	0.753754163	1.885121881	4.021633618	4.307051869	0.729336672	0.644284985	0.756665721	2.005910889	4.438009413	0.305068908	1.794170271	2.434075257	0.592513889
0	1.788738856	2.857593992	0.968444108	0.713426815	2.724291495	3.02165653	0.620934422	0.653915737	1.052649171	0.813258063	0.587514985	9.892441608	1.37158518	1.145634745	3.496931289	2.111805449	9.938513314	2.495753054	0.360454726	0.923550336	2.071932997	0.753429991	0.476247209	1.580634067	0.504595447	1.043602634	1.096087939	0.287564281	0.333555361	2.792707293	5.194032593	0.221292123	0.75791676	2.002867029	3.985077815	4.604812874	0.727496869	0.431312124	0.489186921	2.10577149	5.269911215	0.293929622	1.623443927	2.362690869	0.645857937
0	1.763836799	2.741920417	1.082526755	0.66244246	2.503166952	3.137829143	0.636071129	0.624471467	1.103218734	0.833480952	0.599867071	8.992404464	1.401350939	1.153490361	2.891170787	1.99426108	11.47346865	2.452328358	0.379517874	0.875089705	1.881061643	0.85091297	0.479411439	1.52246806	0.549212312	1.041983367	1.120433963	0.326531678	0.329406143	2.623082817	5.125909749	0.237008801	0.753609073	2.049506853	3.744348454	4.452499192	0.815238453	0.500166405	0.591309997	2.029415609	4.786397996	0.303095073	1.712296703	2.241800019	0.642860473
0	1.994087438	3.019303591	1.024202969	0.818064216	3.360368008	2.459782617	0.598380135	0.626365969	0.990295219	0.752831011	0.588894622	8.367899096	1.341924594	1.178274016	3.195977718	2.101703775	9.912401168	2.295975569	0.379746477	1.155275882	2.530606263	0.785791333	0.463033418	1.677341587	0.580504221	1.027962613	1.153555469	0.318251906	0.34054292	2.752610651	6.147088044	0.209921595	0.764281721	2.117960353	4.741546592	4.40551518	0.730084697	0.434722662	0.430278861	1.851577943	4.923294127	0.299452885	1.700112131	2.383185408	0.667158047
0	1.865357246	2.978167822	1.027097621	0.851536088	3.026446779	2.418128409	0.674089001	0.664536534	1.059889729	0.851629207	0.619869836	7.311564471	1.338561518	1.208470108	2.984205218	1.959413566	9.152087437	2.080926248	0.407647424	1.073345035	2.436298084	0.903757671	0.51422961	1.579438138	0.565021331	1.034019419	1.045083746	0.411109842	0.368916831	2.71308932	4.692631114	0.227064894	0.802203544	1.999048323	4.062696573	4.279865781	0.849653415	0.71854962	0.725163277	1.897202389	4.744475226	0.327985537	1.548767643	2.085276298	0.635902627
0	1.849359916	3.196767036	0.65629043	0.589057852	1.95313672	3.680335435	0.628762323	0.600596776	0.879094773	0.759655341	0.602495551	14.76578932	1.578073669	1.161444711	3.163399896	1.797800466	12.62454879	2.600651889	0.361516612	0.748787297	1.91946828	0.672868116	0.488292812	1.411887139	0.578991094	1.012705019	0.952008209	0.251654753	0.301115139	2.962781289	5.892746896	0.200287454	0.671876627	1.654152785	5.081546846	4.998635071	0.663274696	0.322851252	0.412756811	2.394874678	4.673461557	0.302365592	1.619227125	2.701616642	0.614380286
0	1.577275668	2.601283557	1.02504663	0.623862479	2.161795181	4.492709659	0.602675728	0.631278341	1.126996737	0.78533047	0.615512102	9.961550605	1.575738022	1.321554751	3.112093037	1.975656705	9.356289967	2.536173631	0.374329642	0.777476104	1.691512	0.903401468	0.442075568	1.421204807	0.574301661	1.051665163	1.051174339	0.246345746	0.339036399	3.092451897	4.718527537	0.231085174	0.752541649	1.94543073	4.341166699	5.250403848	0.711907052	0.341973608	0.481495802	2.30168354	5.972602256	0.301896363	1.615316504	2.341649256	0.594599463
0	1.79111312	2.942155705	0.775411505	0.645713773	2.103261321	3.435561875	0.612615143	0.61892504	0.921645613	0.795194324	0.61084904	13.96747451	1.512296532	1.197609301	3.204201458	1.946587611	11.36815407	2.311557746	0.373236553	0.859594869	2.115133995	0.775780082	0.492477082	1.495498932	0.520706922	1.037936059	0.97254344	0.259026402	0.308537306	3.077134846	5.103751616	0.231550791	0.699575166	1.796089506	4.424720562	4.878403382	0.710919548	0.424394022	0.546120405	2.178720341	4.963458588	0.311713186	1.565898896	2.752600697	0.592565831
