Time	EIF4EBP1_pS65	EIF4EBP1_pT37_pT46	ACACA_pS79.ACACB_pS79	AKT1_pS473.AKT2_pS473.AKT3_pS473	AKT1_pT308.AKT2_pT308.AKT3_pT308	PRKAA1_pT172.PRKAA2_pT172	BAD_pS112	MET_pY1235	RAF1_pS338	CHEK1_pS345	CHEK2_pT68	EGFR_pY1068	EGFR_pY1173	ESR1_pS118	GSK3A_pS9_pS21.GSK3B_pS9_pS21	GSK3A_pS9.GSK3B_pS9	ERBB2_pY1248	ERBB3_pY1298	MAPK8_pT183_pT185	MAPK1_pT202_Y204.MAPK3_pT202_Y204	MAP2K1_pS217_S221	MTOR_pS2448	NDRG1_pT346	RELA_p65_pS536	CDKN1B_pT157	CDKN1B_pT198	MAPK14_pT180_Y182	RPS6KB1_pT389	RPS6KA1_pT359_S363	PDK1_pS241	PEA15_pS116	PRKCA_pS657	PRKCD	PRKCA_pS660.PRKCB_pS660.PRKCD_pS660.PRKCE_pS660.PRKCH_pS660.PRKCQ_pS660	AKT1S1_pT246	RB1_pS807_S811	RICTOR_pT1135	RPS6_pS235_S236	RPS6_pS240_S244	SRC_pY416	SRC_pY527	STAT3_pY705	WWTR1_pS89	YAP1_pS127	YBX1_PS102
0	5.545402529	8.576116509	0.499784751	1.388075857	2.24772572	1.166075859	1.034794655	1.191458464	1.825870616	1.243528816	1.079092615	0.250187959	1.156951167	1.177778731	3.304831415	1.784667732	0.554271758	0.826836357	0.782044201	0.268973956	0.132880813	0.762882259	0.30066593	1.091423666	1.226075796	0.670337047	1.348497925	0.309807474	1.06317212	0.957460018	0.738854574	3.697473536	0.478566131	1.335752399	7.185054822	0.704624128	1.219268993	0.879889339	0.458564813	0.629181996	1.531611563	0.862623356	0.932180684	4.474975598	1.327137838
0	4.212210354	7.919336105	0.352458061	1.596710831	2.416129813	1.002058607	1.224948832	1.016658714	1.594661493	1.044059415	0.898264863	0.296329089	1.494527424	1.138614082	3.248184479	1.823130975	0.605946262	0.802665282	0.684586056	0.287516176	0.12557484	0.616610685	0.338719663	1.324329688	1.147463747	0.665003238	1.235694708	0.221488604	1.165507775	1.07349291	1.235512177	4.745654779	0.418676648	1.275380875	7.545968476	0.905547589	1.100566955	0.59932072	0.511385332	0.590045206	1.481237461	0.885867654	0.918592758	6.005761064	1.92134824
0	3.943539377	7.52160104	0.377378448	1.757297607	2.383986208	1.033973772	1.219777666	0.939915066	1.715264399	1.163720053	0.984280248	0.277170199	1.479661898	1.211839474	3.147716138	1.929979196	0.583496317	0.781455043	0.736032183	0.301782251	0.133946386	0.723569701	0.313252864	1.353277984	1.073655627	0.673590431	1.16151655	0.211342285	1.195197905	1.06899301	0.88885516	4.046738161	0.465471648	1.378538171	6.452848111	0.774084709	1.135353276	0.6456791	0.495672909	0.600055143	1.55407246	0.925963981	1.016616164	5.103864712	1.667309086
0	2.970859243	8.352302524	0.305714944	1.46557901	2.338155953	0.940482302	1.197724108	0.953836294	1.468372394	1.157556352	1.062523863	0.289866822	1.401717514	1.234145095	2.656617538	1.610735228	0.550125627	0.782411213	0.717997756	0.360969966	0.142107907	0.550395328	0.264083747	1.385484112	1.165712697	0.706228839	1.283867587	0.237744121	1.06157791	1.083467379	1.087051634	3.076731005	0.440953439	1.291142315	7.450017621	0.835405076	1.01222878	0.445308946	0.295947537	0.620080911	1.338352749	0.875888609	0.813100635	5.768548327	1.517689632
0	3.969638176	10.0397052	0.328111729	1.515221965	2.700800323	0.868417784	1.328276268	1.034066681	1.495849031	1.054421166	0.960027835	0.282038008	1.237968983	1.287723386	3.16137045	1.592732908	0.599315555	0.747499136	0.746668579	0.396283225	0.124011492	0.453870565	0.238728424	1.377313277	1.530449182	0.770322175	1.409060015	0.233711783	0.992821858	1.012473133	1.342098184	3.336282943	0.360641936	1.206938987	8.582672666	0.841574946	0.986873777	0.300186029	0.21152223	0.598298423	1.25378672	0.82256394	0.863073879	7.282282867	1.736780843
0	3.654451384	7.997183564	0.401641566	1.718998738	2.735656831	1.046453558	1.114934247	1.285473689	2.244846627	1.197881446	1.036256691	0.301172133	1.494516323	1.26231667	3.268396657	1.673052313	0.536503448	0.929742023	0.753098648	0.32825829	0.136727521	0.668569394	0.280312528	1.376672637	1.362016815	0.659199988	1.257047531	0.235810244	1.097084719	1.033750226	0.364179377	4.769959105	0.467147268	1.403310607	9.058823617	0.804773932	1.328135071	0.618815207	0.30874307	0.586447567	1.632841309	0.811767022	0.664731475	4.877953503	1.525806987
0	3.560186201	9.251746315	0.536214103	1.736004368	2.148229065	1.144457863	1.197208238	1.024433288	1.756320958	1.143138947	1.093957776	0.271074654	1.279786318	1.108814968	3.656107865	2.060767836	0.550221541	0.775503067	0.76092982	0.293904983	0.127625508	0.812994379	0.290143595	1.189017238	1.237339074	0.679430862	1.336060094	0.304584479	1.066154044	0.995635103	1.08817003	3.837884608	0.432295206	1.447575668	6.509264825	0.803927369	1.220890458	0.708611027	0.407812469	0.6209418	1.660248683	0.91196359	1.166138576	4.684012047	1.368002775
0	4.037881107	9.336376633	0.615675208	1.633467185	2.094441463	1.271298142	1.132509737	0.948232629	1.717110339	1.135777813	1.113341311	0.257841124	1.291939293	1.111051663	3.581277388	1.866448669	0.531688095	0.868062634	0.659806851	0.23805625	0.129907212	0.824680891	0.276423382	1.200873193	1.244264225	0.631056489	1.20148733	0.306702136	1.061824665	1.063624252	0.873500653	4.019326626	0.419631206	1.409105038	7.098258685	0.732595416	1.190000648	0.600918295	0.359554534	0.600485534	1.638007456	0.848472923	1.216374405	5.096236932	1.342657949
0	4.965259666	8.075967863	0.579693299	1.487100111	2.313828232	1.080556342	1.000705147	0.979524904	1.859098667	1.219998916	1.107614985	0.27109733	1.169576993	1.184318766	3.255190348	1.858633198	0.565343775	0.819647206	0.853477423	0.254602572	0.12576298	0.791823106	0.30372336	1.107683718	1.261086771	0.69411165	1.421671693	0.289664122	1.018755231	1.025598033	0.742155688	3.369049496	0.423158963	1.349639776	6.521315247	0.675869083	1.197404387	0.849835093	0.456754122	0.622670544	1.4876679	0.888207325	0.862573807	4.490993564	1.480500921
0	3.70124885	7.526981487	0.313204735	1.696938522	2.621527653	0.899685343	1.329459359	0.919600785	1.678234353	1.106981898	1.026738688	0.273713783	1.273004444	1.215881921	3.158926589	1.846726924	0.649991041	0.713553137	0.931051836	0.559964117	0.135763889	0.672202325	0.259643309	1.320246604	1.027703055	0.642722824	1.179959094	0.204663824	1.037900246	1.006994421	1.121364915	3.480233389	0.466918669	1.516735522	6.558476827	0.751790722	1.021658434	0.447041096	0.317068555	0.667034686	1.503733091	0.94228191	0.840667111	5.770208797	1.613079383
