Time	EIF4EBP1_pS65	ACACA_pS79.ACACB_pS79	AKT1_pS473.AKT2_pS473.AKT3_pS473	AKT1_pT308.AKT2_pT308.AKT3_pT308	PRKAA1_pT172.PRKAA2_pT172	BAD_pS112	JUN_pS73	MET_pY1235	RAF1_pS338	CHEK1_pS345	CHEK2_pT68	EGFR_pY1068	EGFR_pY1173	EGFR_pY992	ESR1_pS118	FOXO3_pS318_pS321	GSK3A_pS9_pS21.GSK3B_pS9_pS21	GSK3A_pS9.GSK3B_pS9	ERBB2_pY1248	MAPK8_pT183_pT185	MAPK1_pT202_Y204.MAPK3_pT202_Y204	MAP2K1_pS217_S221	MTOR_pS2448	RELA_p65_pS536	CDKN1B_pT157	CDKN1B_pT198	MAPK14_pT180_Y182	RPS6KB1_pT389	RPS6KA1_pT359_S363	PDK1_pS241	PRKCA_pS657	AKT1S1_pT246	RB1_pS807_S811	RPS6_pS235_S236	RPS6_pS240_S244	SRC_pY416	SRC_pY527	STAT3_pY705	WWTR1_pS89	YAP1_pS127	YBX1_PS102
0	0.637450063	0.191493561	0.052567412	0.326265303	1.444424211	0.420467523	0.372336105	0.441988884	0.343591918	0.235253287	0.180790983	0.080972482	0.411475741	0.125430605	0.827088763	0.478802695	0.912521107	0.654209435	1.217797332	0.173936281	0.180741026	0.178643858	0.354652563	0.468137774	0.602133122	0.40796688	0.193051081	0.402034398	0.544698266	1.132207293	0.194827594	1.186150136	2.065839792	0.40719298	0.235915957	0.083477543	1.170758271	0.172437499	0.74660755	0.435565426	0.495907855
0	0.591690689	0.231633904	0.050340776	0.359794908	1.529592147	0.477099555	0.376744212	0.442183728	0.71771349	0.23692373	0.20603509	0.092387215	0.427860599	0.108245238	0.911417001	0.455645636	0.815736079	0.927819733	1.341368122	0.212690845	0.399849945	0.276255662	0.405104489	0.50521333	0.58627234	0.440379211	0.21480792	0.243981884	0.653142185	1.094986355	0.195311507	1.144742126	2.226444001	0.365621694	0.221459352	0.089000428	1.133504821	0.198182212	0.639623937	0.349748161	0.580503614
0	0.486618971	0.155539914	0.048093376	0.465760606	1.296108166	0.489878281	0.435119141	0.44383329	0.406794063	0.240550749	0.201109247	0.088895841	0.396875331	0.115713703	0.841328931	0.485528544	0.744886535	0.791412806	1.250874049	0.195710591	0.358823838	0.25895354	0.255585517	0.486283392	0.59203829	0.549220671	0.268437512	0.223135637	0.667036311	1.005044077	0.156291195	1.140440573	1.996567647	0.361342319	0.13663114	0.089798791	0.901195759	0.195553309	0.966131447	0.387897892	0.601366934
0	0.487312295	0.186539962	0.044694608	0.337850621	1.42461431	0.432294073	0.387646894	0.458051556	0.384271844	0.270695063	0.209853515	0.078297111	0.446985432	0.122821253	0.941827514	0.47375449	0.816011983	0.848551626	1.406828759	0.201216356	0.351008458	0.274105511	0.335520486	0.44286521	0.632520761	0.444387167	0.197114811	0.187039676	0.641239204	1.104460331	0.185995116	1.117626223	2.147631993	0.293868248	0.128550483	0.106493078	1.084929508	0.181759402	0.650027307	0.371376511	0.624141481
0	0.51577988	0.212447272	0.045152602	0.314387449	1.555860276	0.399656464	0.36240765	0.480619634	0.464041942	0.255948397	0.230499212	0.08169349	0.438114165	0.112725778	0.968132965	0.468392232	0.822366025	0.863817337	1.376086699	0.230699938	0.371881837	0.254471897	0.410152574	0.462507403	0.634503852	0.446204498	0.218544915	0.190968883	0.632120424	1.029665977	0.178809054	1.121730343	2.309480767	0.280867268	0.141173428	0.100257819	1.169224371	0.191051559	0.808773607	0.370134138	0.54935846
0	0.529555623	0.212420302	0.051188394	0.326015882	1.66757087	0.458278742	0.364144503	0.447849517	0.530909125	0.241851114	0.189157478	0.076849956	0.411188642	0.103426626	0.921030644	0.45396451	0.833220578	0.875154892	1.213712892	0.215170236	0.380037856	0.238527965	0.35941341	0.452221523	0.614660507	0.423549935	0.214723178	0.20092678	0.595826539	1.107204562	0.201746305	1.174006608	2.335559263	0.264936133	0.123598546	0.096750577	1.184763707	0.188856145	0.717189994	0.371452711	0.546128904
0	0.532722925	0.270862831	0.068429121	0.357494606	1.468342256	0.449582748	0.375253441	0.488115782	0.692417111	0.254661778	0.214010203	0.081800947	0.423910546	0.116080524	1.004101854	0.44801848	0.830324408	0.965853495	1.257025732	0.228531254	0.428071523	0.274230339	0.42463949	0.495955446	0.600622483	0.441193473	0.20783851	0.249097603	0.642606841	1.086863228	0.226444513	1.091259243	2.543684135	0.317581194	0.162873912	0.113711155	1.282820908	0.209541699	0.490608932	0.359419983	0.53898571
0	0.579971813	0.170106467	0.045590476	0.294576757	1.4337045	0.457661494	0.434846396	0.491894412	0.419286249	0.252884272	0.213929241	0.072153567	0.451027344	0.112243707	0.749475357	0.542866558	0.787672474	0.810429959	1.240712736	0.195001282	0.181052944	0.16578081	0.380600978	0.469015081	0.661135558	0.444460763	0.194214212	0.182835815	0.681939389	1.079062329	0.234105589	0.883502091	1.804942491	0.209492771	0.103412971	0.079781967	1.157947261	0.172067574	0.773122558	0.418170837	0.549440231
0	0.572046436	0.179493896	0.052142034	0.332129663	1.831187954	0.436688888	0.389114506	0.481729571	0.44343243	0.258791692	0.203532009	0.076455918	0.414208238	0.117816009	0.756470652	0.494957332	0.810551358	0.768442889	1.285965192	0.176474077	0.182103502	0.170435222	0.351813542	0.437402871	0.607369518	0.450060077	0.186114409	0.225800205	0.625229402	1.201534843	0.202010536	1.026502304	2.137383316	0.304133856	0.150430087	0.077266904	1.334454876	0.179085589	0.742475105	0.414573453	0.465079821
0	0.566246158	0.18778038	0.056668645	0.36604968	1.377458243	0.487699689	0.373348621	0.451736686	0.519472119	0.249260676	0.193941092	0.080384761	0.40065539	0.096650533	0.924506621	0.468683509	0.813336118	0.912944999	1.260055156	0.22475151	0.368065881	0.261499445	0.35710884	0.527598621	0.641097627	0.422839372	0.221979375	0.238751727	0.64438725	1.05277698	0.189814273	1.145796797	2.380818426	0.264295587	0.143270678	0.088413751	1.082267601	0.19663911	0.842688812	0.388236953	0.580631417
