Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
3	2	4	(2, 4)	3.0	3.0	1.0	('prpr', 'prpc')	True	2601.0	('prpr', 'prpc')	0.0	[(0, 0.72315994772468895, 2.5866925956640123e-22), (10, 0.50642689400517693, 3.6522360890893132e-05), (20, 0.50647557387427411, 5.8250878001120863e-05), (30, 0.79332728838869748, 1.6087184485864241e-16), (60, 0.31890607356523049, 0.070466663920551925), (90, 0.21526694957804435, 0.42332054597904478)]	['+']	prpr	prpc	prpr	25.0	prpc	25.0	prpr	prpc	43	5	0	0	18	0.5588615233546381	0.5512820512820513
2	4	6	(2, 6)	4.0	4.0	2.0	('prpr', 'prpd')	True	2602.0	('prpr', 'prpd')	0.0	[(0, 0.71142809350922565, 2.4175039777960889e-21), (10, 0.61172660615795349, 2.0742249719578695e-07), (20, 0.58830180087137063, 1.4906282919925939e-06), (30, 0.76352977082080209, 9.7574684249027175e-15), (60, 0.38052382049177808, 0.028919335938012471), (90, 0.34925594777695751, 0.18486678492147321)]	['+']	prpr	prpd	prpr	25.0	prpd	25.0	prpr	prpd	43	5	0	0	18	0.5588615233546381	0.5512820512820513
5	8	0	(0, 8)	4.333333333333333	5.0	4.041451884327381	('prpr', 'prpb')	True	2600.0	('prpr', 'prpb')	0.0	[(0, 0.62677415059527553, 1.5013775990346677e-15), (10, 0.4601530110616649, 0.00021631806588974907), (20, 0.46876140966932983, 0.00023529090890165327), (30, 0.71226628882318921, 3.2804637974741807e-12), (60, 0.34778459137903511, 0.047341083433286121), (90, 0.43923072963762372, 0.088720624677062931)]	['+']	prpr	prpb	prpr	25.0	prpb	25.0	prpr	prpb	43	5	0	0	18	0.5588615233546381	0.5512820512820513
7	0	8	(0, 8)	5.0	7.0	4.358898943540674	('ascg', 'prpr')	True	14.0	('ascg', 'prpr')		[(0, 0.30883041153974244, 0.00035022800598507079), (10, 0.4646984829507454, 0.00018365404982976924), (20, 0.37567407558727817, 0.0039800772511334017), (30, 0.36775994879863877, 0.0016041286582956366), (60, 0.017148382663053029, 0.92453851807918686), (90, 0.48193683161056378, 0.058708468846356512)]	['-']	ascg	prpr	ascg	25.0	prpr	25.0	ascg	prpr	43	5	0	0	18	0.5588615233546381	0.5512820512820513
9	3	3	(3, 9)	5.0	3.0	3.4641016151377544	('ascg', 'ascf')	True	458.0	('ascg', 'ascf')	0.0	[(0, 0.63878051430459759, 2.9113899658971927e-16), (10, 0.66112844745813493, 8.9515273127067081e-09), (20, 0.52828601187605639, 2.4033609881907785e-05), (30, 0.34486299199087334, 0.0032273177590481307), (60, 0.16729845934419413, 0.3520701878233472), (90, 0.3779456557892657, 0.14892576000505517)]	['-']	ascg	ascf	ascg	25.0	ascf	25.0	ascg	ascf	43	5	0	0	18	0.5588615233546381	0.5512820512820513
4	11	1	(1, 11)	5.333333333333333	4.0	5.131601439446884	('prpr', 'prpe')	True	2603.0	('prpr', 'prpe')	0.0	[(0, 0.73927565897705239, 9.8889582506730292e-24), (10, 0.56773534750307131, 2.2374523434004626e-06), (20, 0.48138288687516922, 0.00015014200024613875), (30, 0.72005382289239839, 1.4734580679755887e-12), (60, 0.35999256400615953, 0.039606645731465093), (90, 0.40675301985961765, 0.11792685022405404)]	['+']	prpr	prpe	prpr	25.0	prpe	25.0	prpr	prpe	43	5	0	0	18	0.5588615233546381	0.5512820512820513
1	1	15	(1, 15)	5.666666666666667	1.0	8.082903768654761	('crp', 'htpg')	False												crp	htpg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
6	9	2	(2, 9)	5.666666666666667	6.0	3.511884584284246	('ascg', 'crp')	False												ascg	crp	43	5	0	0	18	0.5588615233546381	0.5512820512820513
8	5	5	(5, 8)	6.0	5.0	1.7320508075688772	('phob', 'ascb')	False												phob	ascb	43	5	0	0	18	0.5588615233546381	0.5512820512820513
12	7	7	(7, 12)	8.666666666666666	7.0	2.8867513459481287	('prpr', 'ascg')	False												prpr	ascg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
11	13	13	(11, 13)	12.333333333333334	13.0	1.1547005383792515	('crp', 'ascg')	False												crp	ascg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
15	14	10	(10, 15)	13.0	14.0	2.6457513110645907	('crp', 'phob')	False												crp	phob	43	5	0	0	18	0.5588615233546381	0.5512820512820513
10	10	27	(10, 27)	15.666666666666666	10.0	9.814954576223638	('ascg', 'ascb')	True	457.0	('ascg', 'ascb')	0.0	[(0, 0.50441077534146705, 9.4331015602573549e-10), (10, 0.53030854857205656, 1.3124535573115381e-05), (20, 0.34836880311467167, 0.0079165480435659883), (30, 0.050041064310154405, 0.67855997863493522), (60, 0.10074696741854813, 0.57694387430326821), (90, 0.075715365478919827, 0.78047992153274404)]	['-']	ascg	ascb	ascg	25.0	ascb	25.0	ascg	ascb	43	5	0	0	18	0.5588615233546381	0.5512820512820513
16	12	19	(12, 19)	15.666666666666666	16.0	3.511884584284246	('phob', 'ascf')	False												phob	ascf	43	5	0	0	18	0.5588615233546381	0.5512820512820513
22	21	14	(14, 22)	19.0	21.0	4.358898943540674	('prpr', 'phob')	False												prpr	phob	43	5	0	0	18	0.5588615233546381	0.5512820512820513
14	6	38	(6, 38)	19.333333333333332	14.0	16.653327995729065	('prpr', 'ascf')	False												prpr	ascf	43	5	0	0	18	0.5588615233546381	0.5512820512820513
13	34	12	(12, 34)	19.666666666666668	13.0	12.423096769056148	('ascg', 'phob')	False												ascg	phob	43	5	0	0	18	0.5588615233546381	0.5512820512820513
18	16	31	(16, 31)	21.666666666666668	18.0	8.144527815247079	('ascg', 'prpe')	False												ascg	prpe	43	5	0	0	18	0.5588615233546381	0.5512820512820513
35	17	20	(17, 35)	24.0	20.0	9.643650760992955	('phob', 'htpg')	False												phob	htpg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
20	35	18	(18, 35)	24.333333333333332	20.0	9.291573243177568	('ascg', 'prpd')	False												ascg	prpd	43	5	0	0	18	0.5588615233546381	0.5512820512820513
17	29	29	(17, 29)	25.0	29.0	6.928203230275509	('ascg', 'prpb')	False												ascg	prpb	43	5	0	0	18	0.5588615233546381	0.5512820512820513
34	22	22	(22, 34)	26.0	22.0	6.928203230275509	('phob', 'crp')	False												phob	crp	43	5	0	0	18	0.5588615233546381	0.5512820512820513
33	23	23	(23, 33)	26.333333333333332	23.0	5.773502691896257	('prpr', 'htpg')	False												prpr	htpg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
24	42	16	(16, 42)	27.333333333333332	24.0	13.316656236958787	('prpr', 'crp')	False												prpr	crp	43	5	0	0	18	0.5588615233546381	0.5512820512820513
36	30	17	(17, 36)	27.666666666666668	30.0	9.71253485622231	('phob', 'ascg')	False												phob	ascg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
21	41	24	(21, 41)	28.666666666666668	24.0	10.785793124908958	('ascg', 'htpg')	True	459.0	('ascg', 'htpg')		[(0, 0.082020399389162849, 0.35355873942321769), (10, -0.10365306624119136, 0.43062078456001218), (20, -0.25778553596136972, 0.052870316691665822), (30, -0.062210874842770658, 0.60627821173975782), (60, -0.013349186535065718, 0.94122400480561008), (90, -0.22683511575956256, 0.39820388144378266)]	['-']	ascg	htpg	ascg	25.0	htpg	25.0	ascg	htpg	43	5	0	0	18	0.5588615233546381	0.5512820512820513
38	24	25	(24, 38)	29.0	25.0	7.810249675906654	('prpr', 'ascb')	False												prpr	ascb	43	5	0	0	18	0.5588615233546381	0.5512820512820513
19	37	33	(19, 37)	29.666666666666668	33.0	9.451631252505216	('ascg', 'prpc')	False												ascg	prpc	43	5	0	0	18	0.5588615233546381	0.5512820512820513
42	20	28	(20, 42)	30.0	28.0	11.135528725660043	('phob', 'ybit')	False												phob	ybit	43	5	0	0	18	0.5588615233546381	0.5512820512820513
