Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
5	2	0	(0, 5)	2.3333333333333335	2.0	2.516611478423583	('phob', 'ascb')	False												phob	ascb	25	4	1	1	18	0.6100708152201775	0.7179487179487181
4	3	4	(3, 4)	3.6666666666666665	4.0	0.5773502691896258	('prpr', 'prpb')	True	2600.0	('prpr', 'prpb')	0.0	[(0, 0.62677415059527553, 1.5013775990346677e-15), (10, 0.4601530110616649, 0.00021631806588974907), (20, 0.46876140966932983, 0.00023529090890165327), (30, 0.71226628882318921, 3.2804637974741807e-12), (60, 0.34778459137903511, 0.047341083433286121), (90, 0.43923072963762372, 0.088720624677062931)]	['+']	prpr	prpb	prpr	25.0	prpb	25.0	prpr	prpb	25	4	1	1	18	0.6100708152201775	0.7179487179487181
3	4	5	(3, 5)	4.0	4.0	1.0	('prpr', 'prpe')	True	2603.0	('prpr', 'prpe')	0.0	[(0, 0.73927565897705239, 9.8889582506730292e-24), (10, 0.56773534750307131, 2.2374523434004626e-06), (20, 0.48138288687516922, 0.00015014200024613875), (30, 0.72005382289239839, 1.4734580679755887e-12), (60, 0.35999256400615953, 0.039606645731465093), (90, 0.40675301985961765, 0.11792685022405404)]	['+']	prpr	prpe	prpr	25.0	prpe	25.0	prpr	prpe	25	4	1	1	18	0.6100708152201775	0.7179487179487181
2	5	6	(2, 6)	4.333333333333333	5.0	2.0816659994661326	('prpr', 'prpd')	True	2602.0	('prpr', 'prpd')	0.0	[(0, 0.71142809350922565, 2.4175039777960889e-21), (10, 0.61172660615795349, 2.0742249719578695e-07), (20, 0.58830180087137063, 1.4906282919925939e-06), (30, 0.76352977082080209, 9.7574684249027175e-15), (60, 0.38052382049177808, 0.028919335938012471), (90, 0.34925594777695751, 0.18486678492147321)]	['+']	prpr	prpd	prpr	25.0	prpd	25.0	prpr	prpd	25	4	1	1	18	0.6100708152201775	0.7179487179487181
6	6	2	(2, 6)	4.666666666666667	6.0	2.3094010767585034	('prpr', 'prpc')	True	2601.0	('prpr', 'prpc')	0.0	[(0, 0.72315994772468895, 2.5866925956640123e-22), (10, 0.50642689400517693, 3.6522360890893132e-05), (20, 0.50647557387427411, 5.8250878001120863e-05), (30, 0.79332728838869748, 1.6087184485864241e-16), (60, 0.31890607356523049, 0.070466663920551925), (90, 0.21526694957804435, 0.42332054597904478)]	['+']	prpr	prpc	prpr	25.0	prpc	25.0	prpr	prpc	25	4	1	1	18	0.6100708152201775	0.7179487179487181
7	1	7	(1, 7)	5.0	7.0	3.4641016151377544	('ascg', 'ascf')	True	458.0	('ascg', 'ascf')	0.0	[(0, 0.63878051430459759, 2.9113899658971927e-16), (10, 0.66112844745813493, 8.9515273127067081e-09), (20, 0.52828601187605639, 2.4033609881907785e-05), (30, 0.34486299199087334, 0.0032273177590481307), (60, 0.16729845934419413, 0.3520701878233472), (90, 0.3779456557892657, 0.14892576000505517)]	['-']	ascg	ascf	ascg	25.0	ascf	25.0	ascg	ascf	25	4	1	1	18	0.6100708152201775	0.7179487179487181
8	0	9	(0, 9)	5.666666666666667	8.0	4.932882862316248	('ascg', 'ascb')	True	457.0	('ascg', 'ascb')	0.0	[(0, 0.50441077534146705, 9.4331015602573549e-10), (10, 0.53030854857205656, 1.3124535573115381e-05), (20, 0.34836880311467167, 0.0079165480435659883), (30, 0.050041064310154405, 0.67855997863493522), (60, 0.10074696741854813, 0.57694387430326821), (90, 0.075715365478919827, 0.78047992153274404)]	['-']	ascg	ascb	ascg	25.0	ascb	25.0	ascg	ascb	25	4	1	1	18	0.6100708152201775	0.7179487179487181
10	7	8	(7, 10)	8.333333333333334	8.0	1.5275252316519468	('crp', 'prpc')	True	790.0	('crp', 'prpc')	10.0	[(0, 0.024035608458058619, 0.78605224848037281), (10, 0.65458335443892612, 1.403232642522095e-08), (20, 0.63082827383537399, 1.4421550024020318e-07), (30, 0.30443969482071614, 0.0098426594718181524), (60, 0.23985976857881741, 0.17879185025964184), (90, 0.37078656703042417, 0.15741087032886)]	['+']	crp	prpc	crp	1.0	prpc	25.0	crp	prpc	25	4	1	1	18	0.6100708152201775	0.7179487179487181
1	30	3	(1, 30)	11.333333333333334	3.0	16.19670748434179	('crp', 'htpg')	False												crp	htpg	25	4	1	1	18	0.6100708152201775	0.7179487179487181
0	42	1	(0, 42)	14.333333333333334	1.0	23.96525262402492	('crp', 'ybit')	True	894.0	('crp', 'ybit')	60.0	[(0, -0.16059173506077479, 0.067969591603482593), (10, 0.3429604308955847, 0.0073059641832630513), (20, 0.3934448687860565, 0.0024636312442581059), (30, -0.071614263857437896, 0.55285702227536726), (60, -0.67415785595769251, 1.6975377624999608e-05), (90, -0.39618740722130014, 0.12872115131007827)]	['+']	crp	ybit	crp	1.0	ybit	25.0	crp	ybit	25	4	1	1	18	0.6100708152201775	0.7179487179487181
