Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
4	3	1	(1, 4)	2.6666666666666665	3.0	1.5275252316519465	('prpr', 'prpe')	True	2603.0	('prpr', 'prpe')	0.0	[(0, 0.73927565897705239, 9.8889582506730292e-24), (10, 0.56773534750307131, 2.2374523434004626e-06), (20, 0.48138288687516922, 0.00015014200024613875), (30, 0.72005382289239839, 1.4734580679755887e-12), (60, 0.35999256400615953, 0.039606645731465093), (90, 0.40675301985961765, 0.11792685022405404)]	['+']	prpr	prpe	prpr	25.0	prpe	25.0	prpr	prpe	43	5	0	0	18	0.5145984446370832	0.5576923076923076
3	9	0	(0, 9)	4.0	3.0	4.58257569495584	('prpr', 'prpc')	True	2601.0	('prpr', 'prpc')	0.0	[(0, 0.72315994772468895, 2.5866925956640123e-22), (10, 0.50642689400517693, 3.6522360890893132e-05), (20, 0.50647557387427411, 5.8250878001120863e-05), (30, 0.79332728838869748, 1.6087184485864241e-16), (60, 0.31890607356523049, 0.070466663920551925), (90, 0.21526694957804435, 0.42332054597904478)]	['+']	prpr	prpc	prpr	25.0	prpc	25.0	prpr	prpc	43	5	0	0	18	0.5145984446370832	0.5576923076923076
2	8	3	(2, 8)	4.333333333333333	3.0	3.2145502536643185	('prpr', 'prpd')	True	2602.0	('prpr', 'prpd')	0.0	[(0, 0.71142809350922565, 2.4175039777960889e-21), (10, 0.61172660615795349, 2.0742249719578695e-07), (20, 0.58830180087137063, 1.4906282919925939e-06), (30, 0.76352977082080209, 9.7574684249027175e-15), (60, 0.38052382049177808, 0.028919335938012471), (90, 0.34925594777695751, 0.18486678492147321)]	['+']	prpr	prpd	prpr	25.0	prpd	25.0	prpr	prpd	43	5	0	0	18	0.5145984446370832	0.5576923076923076
5	6	2	(2, 6)	4.333333333333333	5.0	2.0816659994661326	('prpr', 'prpb')	True	2600.0	('prpr', 'prpb')	0.0	[(0, 0.62677415059527553, 1.5013775990346677e-15), (10, 0.4601530110616649, 0.00021631806588974907), (20, 0.46876140966932983, 0.00023529090890165327), (30, 0.71226628882318921, 3.2804637974741807e-12), (60, 0.34778459137903511, 0.047341083433286121), (90, 0.43923072963762372, 0.088720624677062931)]	['+']	prpr	prpb	prpr	25.0	prpb	25.0	prpr	prpb	43	5	0	0	18	0.5145984446370832	0.5576923076923076
1	1	14	(1, 14)	5.333333333333333	1.0	7.505553499465136	('crp', 'htpg')	False												crp	htpg	43	5	0	0	18	0.5145984446370832	0.5576923076923076
6	4	9	(4, 9)	6.333333333333333	6.0	2.516611478423583	('ascg', 'crp')	False												ascg	crp	43	5	0	0	18	0.5145984446370832	0.5576923076923076
8	7	5	(5, 8)	6.666666666666667	7.0	1.5275252316519468	('phob', 'ascb')	False												phob	ascb	43	5	0	0	18	0.5145984446370832	0.5576923076923076
12	2	7	(2, 12)	7.0	7.0	5.0	('prpr', 'ascg')	False												prpr	ascg	43	5	0	0	18	0.5145984446370832	0.5576923076923076
7	13	6	(6, 13)	8.666666666666666	7.0	3.7859388972001824	('ascg', 'prpr')	True	14.0	('ascg', 'prpr')		[(0, 0.30883041153974244, 0.00035022800598507079), (10, 0.4646984829507454, 0.00018365404982976924), (20, 0.37567407558727817, 0.0039800772511334017), (30, 0.36775994879863877, 0.0016041286582956366), (60, 0.017148382663053029, 0.92453851807918686), (90, 0.48193683161056378, 0.058708468846356512)]	['-']	ascg	prpr	ascg	25.0	prpr	25.0	ascg	prpr	43	5	0	0	18	0.5145984446370832	0.5576923076923076
9	11	10	(9, 11)	10.0	10.0	1.0	('ascg', 'ascf')	True	458.0	('ascg', 'ascf')	0.0	[(0, 0.63878051430459759, 2.9113899658971927e-16), (10, 0.66112844745813493, 8.9515273127067081e-09), (20, 0.52828601187605639, 2.4033609881907785e-05), (30, 0.34486299199087334, 0.0032273177590481307), (60, 0.16729845934419413, 0.3520701878233472), (90, 0.3779456557892657, 0.14892576000505517)]	['-']	ascg	ascf	ascg	25.0	ascf	25.0	ascg	ascf	43	5	0	0	18	0.5145984446370832	0.5576923076923076
14	0	19	(0, 19)	11.0	14.0	9.848857801796104	('prpr', 'ascf')	False												prpr	ascf	43	5	0	0	18	0.5145984446370832	0.5576923076923076
11	12	12	(11, 12)	11.666666666666666	12.0	0.5773502691896257	('crp', 'ascg')	False												crp	ascg	43	5	0	0	18	0.5145984446370832	0.5576923076923076
15	14	11	(11, 15)	13.333333333333334	14.0	2.081665999466133	('crp', 'phob')	False												crp	phob	43	5	0	0	18	0.5145984446370832	0.5576923076923076
10	10	26	(10, 26)	15.333333333333334	10.0	9.237604307034012	('ascg', 'ascb')	True	457.0	('ascg', 'ascb')	0.0	[(0, 0.50441077534146705, 9.4331015602573549e-10), (10, 0.53030854857205656, 1.3124535573115381e-05), (20, 0.34836880311467167, 0.0079165480435659883), (30, 0.050041064310154405, 0.67855997863493522), (60, 0.10074696741854813, 0.57694387430326821), (90, 0.075715365478919827, 0.78047992153274404)]	['-']	ascg	ascb	ascg	25.0	ascb	25.0	ascg	ascb	43	5	0	0	18	0.5145984446370832	0.5576923076923076
16	5	25	(5, 25)	15.333333333333334	16.0	10.016652800877813	('phob', 'ascf')	False												phob	ascf	43	5	0	0	18	0.5145984446370832	0.5576923076923076
13	34	8	(8, 34)	18.333333333333332	13.0	13.796134724383252	('ascg', 'phob')	False												ascg	phob	43	5	0	0	18	0.5145984446370832	0.5576923076923076
22	21	20	(20, 22)	21.0	21.0	1.0	('prpr', 'phob')	False												prpr	phob	43	5	0	0	18	0.5145984446370832	0.5576923076923076
18	16	36	(16, 36)	23.333333333333332	18.0	11.015141094572204	('ascg', 'prpe')	False												ascg	prpe	43	5	0	0	18	0.5145984446370832	0.5576923076923076
34	22	16	(16, 34)	24.0	22.0	9.16515138991168	('phob', 'crp')	False												phob	crp	43	5	0	0	18	0.5145984446370832	0.5576923076923076
17	29	27	(17, 29)	24.333333333333332	27.0	6.429100507328636	('ascg', 'prpb')	False												ascg	prpb	43	5	0	0	18	0.5145984446370832	0.5576923076923076
20	35	22	(20, 35)	25.666666666666668	22.0	8.144527815247077	('ascg', 'prpd')	False												ascg	prpd	43	5	0	0	18	0.5145984446370832	0.5576923076923076
24	42	13	(13, 42)	26.333333333333332	24.0	14.6401275039985	('prpr', 'crp')	False												prpr	crp	43	5	0	0	18	0.5145984446370832	0.5576923076923076
33	23	24	(23, 33)	26.666666666666668	24.0	5.507570547286102	('prpr', 'htpg')	False												prpr	htpg	43	5	0	0	18	0.5145984446370832	0.5576923076923076
